,prompts,results
0,"('Предоставьте русскоязычный текст для фонологического или фонетического анализа, и я подготовлю подробную транскрипцию Международного фонетического алфавита (IPA) в стандартном формате, точно передающую произношение слов оригинала. После разбора запиши фразу в формате International Phonetic Alphabet целиком одной строкой', 'Штирлиц всю ночь топил камин. На утро камин утонул.')",[ʃtʲɪrˈlʲits vˈsʲu nɔtʲ tɐˈpʲil kɐˈmʲin. nɐ ʊˈtro kɐˈmʲin ʊtɐˈnul.]
1,"('Создавать фонологическое или фонетическое описание текста. Возвращать тот же текст на International Phonetic Alphabet', 'Штирлиц долго смотрел в одну точку. Потом в другую. Двоеточие! — наконец-то смекнул Штирлиц.')",[ʃtʲɪrˈlʲits dɔlˈɡo smɐˈtrʲel v ˈodnu ˈto.t͡sɨ. ˈpotom v druˈɡuju. dvʲɪɪtɐˈt͡sɪjɪ! — nɐˈkɔnʲtsətɐ smʲɪˈkʲnəl ʃtʲɪrˈlʲits.]
2,"('Пожалуйста, введите текст на русском языке, который вы хотите транскрибировать. Я предоставлю вам его фонетическую транскрипцию в Международном фонетическом алфавите (IPA), соответствующую произношению слов в оригинальном языке.', 'Письмо из центра до Штиpлица не дошло... Пришлось читать во второй раз.')","/pʲɪsʲˈmə iz ˈt͡sɛntrə də ˈʃtʲiːrʲlʲɪtsə nʲɪ dɐˈd͡və/ 
/prʲɪˈʂt͡sə ˈt͡ɕitətʲ vɐ ˈftɔrɨj rɐz/"
3,"('Преобразование входного текста в его фонологическое или фонетическое представление в Международном фонетическом алфавите (IPA), точная транскрипция звуков, структуры слогов и произношения оригинального текста с использованием стандартной нотации IPA.', 'Штирлиц сунул вилку в розетку, когда ему тактично намекнули, что из розетки едят ложечкой.')","ʃtʲirlic sʊnʊl vʲilku v rɐzɛtku, kɐgda ɛmʊ tɐktʲitɕnə nɐmknuли, шtɔ ɪz rɐzɛtki ʲit lɔʒɛtɕkəj. 

Примечание: В последнем слове ""намекнули"" и ""ложечкой"" есть небольшая ошибка в транскрипции. Правильная транскрипция будет:

ʃtʲirlic sʊnʊl vʲilku v rɐzɛtku, kɐgda ɛmʊ tɐktʲitɕnə nɐmknuˈli, шtɔ ɪz rɐzɛtki ʲit lɔˈʐɛtɕkəj."
4,"('Ты - лингвист, специализирующийся на фонологии. Необходимо перевести вводимый на русском языке текст в формат транскрипции Международного фонетического алфавита (IPA) в стандартном формате записи.', 'Штирлиц стрелял вслепую. Слепая испугалась и побежала скачками, но качки быстро отстали.')","[ʃtʲɪrˈlʲits ˈstrelʲal fslʲeˈpum. slʲeˈpaja ɪspʊˈɡalasʲ ɪ pɐˈbʲeʐalɐ ˈskatɕkamʲ, no ˈkatɕkʲi ˈbɨstrə ɐtˈstalʲɪ.]"
5,"('Ты - лингвист, специализирующийся на фонологии. Необходимо перевести вводимый на английском языке текст в формат транскрипции Международного фонетического алфавита (IPA) в стандартном формате записи.', 'A broken friendship may be soldered, but will never be sound')","/aɪ bɹəʊkən ˈfɹɛndʃɪp meɪ biː ˈsɒldəd, bət wɪl nevə biː saʊnd/"
6,"('Предоставьте текст, написанный на английском языке, для фонологического или фонетического анализа, и я подготовлю подробную транскрипцию Международного фонетического алфавита (IPA) в стандартном формате, точно передающую произношение слов оригинала. Результатом выдачи будет фраза, записанная в формате International Phonetic Alphabet целиком одной строкой', 'A journey of a thousand miles begins with a single step')",ˈdʒɜːr.ni əv ə ˈθaʊ.zənd ˈmaɪlz bɪ.gɪnz wɪð ə ˈsɪŋ.ɡl stɛp
7,"('Создавать фонологическое или фонетическое описание текста. Возвращать тот же текст на International Phonetic Alphabet', 'A bird in the hand is worth two in the bush')",/aɪ ˈbɜrd ɪn ði hænd ɪz wɜrθ tuː ɪn ði bʌʃ/
8,"('Пожалуйста, введите текст на английском языке, который вы хотите транскрибировать. Я предоставлю вам его фонетическую транскрипцию в Международном фонетическом алфавите (IPA), соответствующую произношению слов в оригинальном языке.', ""In fact, to make ends meet the Queen is thinking of having a yard sale. Getting rid of a lot of stuff they don't use anymore, like Canada."")","/ɪn fækt, tu meɪk ɛndz miːt ði kwin ɪz θɪŋkɪŋ ʌv hævɪŋ ə jɑrd seɪl. ˈɡɛtɪŋ rɪd ʌv ə lɑt ʌv stʌf ðeɪ dənt juːz əˈnɔr, laɪk kəˈneɪdə./"
9,"('Преобразование входного текста в его фонологическое или фонетическое представление в Международном фонетическом алфавите (IPA), точная транскрипция звуков, структуры слогов и произношения оригинального текста с использованием стандартной нотации IPA.', ""Queen Elizabeth met the royal baby yesterday. The baby cried, so Queen Elizabeth explained: «You'll never have to work a day in your life»"")","/kwiːn ɪˈlɪzəbɪθ met ðə ˈrɔːjəl ˈbeɪbi ˈjɛstədeɪ. ðə ˈbeɪbi kraɪd, səʊ kwiːn ɪˈlɪzəbɪθ ɪkˈspleɪnd: juːl ˈnɛvə hæv tə wɜːk ə deɪ ɪn jɔː laɪf/"
